NOMBRE_ARCHIVO;NUMERO_FACTURA;NIT_ADQUIRIENTE;RAZON_SOCIAL_ADQUIRIENTE;DIRECCION_ADQUIRIENTE;CORREO_ADQUIRIENTE;TELEFONO_ADQUIRIENTE;CIUDAD_MUNICIPIO_ADQUIRIENTE;NUMERO_AUTORIZACION_ELECTRONICA;CODIGO_QR;CODIGO_CUFE;VALOR_TOTAL;IVA_TOTAL;FECHA_GENERACION;NIT_EMISOR;RAZON_SOCIAL_EMISOR
layout_26_001;50727;1043238529;MAURICIO TOMAS SILVERA DE LA ROSA;CRA 76 45 - 45;;3144545072 - 3147732056;Soledad - Colombia;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=4fcf9a43e3a80706677327cf172514b8f24606ed1051740ed42a6fbc4fb3ebe247604cee182a3df594b3c9567b1398b3;4fcf9a43e3a80706677327cf172514b8f24606ed1051740ed42a6fbc4fb3ebe247604cee182a3df594b3c9567b1398b3;28,123.00;;2022-11-28 15:01:04-05:00;802011065-5;INSTITUCION UNIVERSITARIA ITSA
layout_26_002;96018;4624702704;PATRICIA GLORIA TRUJILLO DELGADO;AV 104 # 103 - 69;;3505921696 - 3173134786;Tulua - Colombia;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=235d12fcfc93f3141b6d42ae4d51afc729e7478b244c14a84fd0d1b54d4567c1139966d0fa4d50d26d6c813ef2e31973;235d12fcfc93f3141b6d42ae4d51afc729e7478b244c14a84fd0d1b54d4567c1139966d0fa4d50d26d6c813ef2e31973;125,600.00;;2025-05-25 18:31:32-05:00;802011065-5;INSTITUCION UNIVERSITARIA ITSA
layout_26_003;58330;7291355248;DIANA DANIELA CASTRO NUNEZ;CR 127 # 40 - 77;;3044875558 - 3198095616;Monteria - Colombia;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=71db36e4b39f092a9ce64cda5d5b8e2aa5227adc2e2fc10aebef96606207d1756cbe7309f450be57f2d58722c676e4b7;71db36e4b39f092a9ce64cda5d5b8e2aa5227adc2e2fc10aebef96606207d1756cbe7309f450be57f2d58722c676e4b7;364,100.00;;2025-02-14 10:27:21-05:00;802011065-5;INSTITUCION UNIVERSITARIA ITSA
layout_26_004;87058;0824395044;JULIO ALBERTO CASTRO MARTINEZ;KR 116 # 16 - 37;;3146669869 - 3199499291;Tulua - Colombia;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=dabb666f7f774b8089dcaf08f96e9128a56b736d3042e5a8bdafdab69667d14023081cc313abf07f7d9011869f28f079;dabb666f7f774b8089dcaf08f96e9128a56b736d3042e5a8bdafdab69667d14023081cc313abf07f7d9011869f28f079;680,500.00;;2025-01-14 11:48:18-05:00;802011065-5;INSTITUCION UNIVERSITARIA ITSA
layout_26_005;24570;3716345602;CARLOS FELIPE GIRALDO MORENO;AK 11 # 77 - 44;;3180683469 - 3212705737;Apartado - Colombia;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=8a55d9f1b6b19a73e584ac580fdd3f40dfe64cdc537cac4303a5bf6baad19a614e9bab8429026616f4af3ee1c6054f76;8a55d9f1b6b19a73e584ac580fdd3f40dfe64cdc537cac4303a5bf6baad19a614e9bab8429026616f4af3ee1c6054f76;167,400.00;;2024-01-05 07:28:09-05:00;802011065-5;INSTITUCION UNIVERSITARIA ITSA
layout_26_006;55659;9315451632;ELIZABETH ALEJANDRA GRANADOS RINCON;AV 14 # 17 - 6;;3020954399 - 3194864834;Popayan - Colombia;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=919b8aad902cde39e66a011fdc780531540a5b25e33c5f274994567c94962e09e305b31b1c8da1dbeaf08c16902e94af;919b8aad902cde39e66a011fdc780531540a5b25e33c5f274994567c94962e09e305b31b1c8da1dbeaf08c16902e94af;129,900.00;;2024-11-04 14:40:13-05:00;802011065-5;INSTITUCION UNIVERSITARIA ITSA
layout_27_001;COFE3128561;1045741240;JUAN GUILLERMO OROSCO RUIS;CRA 24 #  52 - 90;;NA;BARRANQUILLA;18764123340648;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=9006398af86b8ac014d6f2d9547e6927d549e3a3442703075437b8ad9008aa580dfe6c184f32d339233cd2dc582be1b3;9006398af86b8ac014d6f2d9547e6927d549e3a3442703075437b8ad9008aa580dfe6c184f32d339233cd2dc582be1b3;47,000.00;7,504.00;2026-05-01 18:32:00-05:00;900319753-3;PRICESMART COLOMBIA S.A.S. NIT: 900.319.753-3
layout_27_002;COFE5807462;4402476104;GONZALO ARMANDO FLOREZ GONZALEZ;CRA 80 # 63 - 26;;NA;Soledad;33019281709277;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=6b9a4634496565aa42d89a5af1737eb51f56f5c7f3da2bc855d7980b86ea0472a41bf71ff75f51607bf4ec52c4158e59;6b9a4634496565aa42d89a5af1737eb51f56f5c7f3da2bc855d7980b86ea0472a41bf71ff75f51607bf4ec52c4158e59;136,273.00;21,758.00;2025-05-19 13:15:18-05:00;900319753-3;PRICESMART COLOMBIA S.A.S. NIT: 900.319.753-3
layout_27_003;COFE6857808;7317695257;TATIANA PAULA ESCOBAR FLOREZ;AC 31 # 7 - 35;;NA;Cucuta;14992624910864;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=6822b0d579efb10117815ec571e4cb4e224a46e27afe898a7e576954a5ac289b36478b869611ebffea8838a877e0eb47;6822b0d579efb10117815ec571e4cb4e224a46e27afe898a7e576954a5ac289b36478b869611ebffea8838a877e0eb47;68,740.00;10,975.00;2024-04-20 17:32:43-05:00;900319753-3;PRICESMART COLOMBIA S.A.S. NIT: 900.319.753-3
layout_27_004;COFE85494;9427450776;ANGELA YOLANDA ACOSTA SILVA;CL 86 # 52 - 68;;NA;Giron;69979154628263;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=367fc628fff28236fb0d19fb355657ca706b6598755983deba96f0eb74b51867222658c6201c1c0c259631528e1ab82f;367fc628fff28236fb0d19fb355657ca706b6598755983deba96f0eb74b51867222658c6201c1c0c259631528e1ab82f;78,208.00;12,487.00;2024-07-03 16:59:18-05:00;900319753-3;PRICESMART COLOMBIA S.A.S. NIT: 900.319.753-3
layout_27_005;COFE3162261;1192942247;NICOLAS ARTURO QUINTERO CASTRO;CRA 130 # 22 - 73;;NA;Soacha;23319887747532;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=ef95f616bf8d6085da9b24cfe8f0d75065ee450266f61ca14feee9acf70f163d07948c7886a8b3a3e4ddcf9d37385bac;ef95f616bf8d6085da9b24cfe8f0d75065ee450266f61ca14feee9acf70f163d07948c7886a8b3a3e4ddcf9d37385bac;108,379.00;17,304.00;2024-12-05 14:24:29-05:00;900319753-3;PRICESMART COLOMBIA S.A.S. NIT: 900.319.753-3
layout_27_006;COFE8607129;8716854070;TATIANA WENDY ROMAN MENDOZA;TV 162 # 114 - 34;;NA;Sincelejo;55130518549107;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=49da4fda70973079f18f9e79222c651f650fee269604d580155a8002d492bd9413b10077988128dcffaaf8ce1e38f290;49da4fda70973079f18f9e79222c651f650fee269604d580155a8002d492bd9413b10077988128dcffaaf8ce1e38f290;80,575.00;12,865.00;2024-07-26 14:38:22-05:00;900319753-3;PRICESMART COLOMBIA S.A.S. NIT: 900.319.753-3
layout_28_001;FE0756294;28563973;YURANIS MENDOZA FLOREZ GOMEZ;BARRANQUILLA - BARRANQUILLA - ATLANTICO - CO;yuranis_mendoza84@gmail.com;3008764578;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=36bdbdb91485330b3aa7a957bb61e4d4a43dc657c7d876151b38aa97d08b7463598f0c3d66e9767330dff07517a43c42;36bdbdb91485330b3aa7a957bb61e4d4a43dc657c7d876151b38aa97d08b7463598f0c3d66e9767330dff07517a43c42;65,900.00;10,521.85;2026-04-05 19:04:00;860030857-3;saraluz sas
layout_28_002;FE4594635;74938752;VALENTINA YULIETH OVIEDO SUAREZ;VALLEDUPAR - VALLEDUPAR - ATLANTICO - CO;valentina.suarez@outlook.com;3059770667;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=76dbb9f5c400a069e8ed258f97d60a982e0e33e97ed33ac223115d6d3919ecd6d158f2a6e4e0533b27fb52afd2b91375;76dbb9f5c400a069e8ed258f97d60a982e0e33e97ed33ac223115d6d3919ecd6d158f2a6e4e0533b27fb52afd2b91375;35,084.00;5,601.64;2024-05-21 15:34:03;860030857-3;saraluz sas
layout_28_003;FE0665242;89616655;RUBEN RAUL REYES LEON;TUNJA - TUNJA - ATLANTICO - CO;ruben.leon@hotmail.com;3203431066;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=855dcbec5c78717b00343784c1e82b988e97edb7f5a39144cc6a1844b49a588585b9d1537efa8d6fb3c39ac367d97c1d;855dcbec5c78717b00343784c1e82b988e97edb7f5a39144cc6a1844b49a588585b9d1537efa8d6fb3c39ac367d97c1d;765,936.00;122,292.30;2024-07-26 15:10:06;860030857-3;saraluz sas
layout_28_004;FE5510179;73931304;OSCAR ESTEBAN VALENCIA PARRA;BUENAVENTURA - BUENAVENTURA - ATLANTICO - CO;oscar.parra@yahoo.com;3500220076;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=577afb37c30a37ddbc50217cb37528b4ae9970265f2d726ffecf526e45dce518c2726aeff2f6ee222dad236767783491;577afb37c30a37ddbc50217cb37528b4ae9970265f2d726ffecf526e45dce518c2726aeff2f6ee222dad236767783491;474,832.00;75,813.51;2024-07-03 18:27:19;860030857-3;saraluz sas
layout_28_005;FE3140195;60120244;SARA ANGELICA OVIEDO SERRANO;VALLEDUPAR - VALLEDUPAR - ATLANTICO - CO;sara.serrano@hotmail.com;3126732020;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=9b63e33aa6c68189697cd509ecfc2c2819ceab3160a9551179ae7deb47c27d102c0587e2b5e20e383d89f01c5ad8f04f;9b63e33aa6c68189697cd509ecfc2c2819ceab3160a9551179ae7deb47c27d102c0587e2b5e20e383d89f01c5ad8f04f;299,599.00;47,835.13;2024-11-26 18:49:11;860030857-3;saraluz sas
layout_28_006;FE4491646;20519655;DIANA TATIANA TORRES VERA;APARTADO - APARTADO - ATLANTICO - CO;diana.vera@yahoo.com;3050403534;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=91618abd78ead91465cbeafb93939c479b071d4df6781537a3864d2d426e50ab56732856e6ca1f149aaef0b486b2c619;91618abd78ead91465cbeafb93939c479b071d4df6781537a3864d2d426e50ab56732856e6ca1f149aaef0b486b2c619;801,991.00;128,048.98;2024-09-30 08:25:35;860030857-3;saraluz sas
layout_29_001;FEA71405;109233443;CAMILA BARRIOS DIAZ ACOSTA;;Jc_barrios37@gmail.com;;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=a28ebc5abf5995f8d10f291a38745754b71f37e7d24c1261b25a99b2412cf07fcdb0d9e93038f3d2c483979b47792839;a28ebc5abf5995f8d10f291a38745754b71f37e7d24c1261b25a99b2412cf07fcdb0d9e93038f3d2c483979b47792839;21.200,00;3.384,87;2026-05-22 17:05:40;900.493.470-8;GRUPO MOTOR S.A.S
layout_29_002;FEA87572;098173829;OLGA FERNANDA SERRANO GONZALEZ;;olga.gonzalez@hotmail.com;;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=3823559e3f5584ede8deb5e79bcd3041705f8a187f5be3c21becaed979c236f5bf8d0c971ae8e54354245d33f8b3fc77;3823559e3f5584ede8deb5e79bcd3041705f8a187f5be3c21becaed979c236f5bf8d0c971ae8e54354245d33f8b3fc77;18.564,00;2.964,00;2024-08-20 16:35:00;900.493.470-8;GRUPO MOTOR S.A.S
layout_29_003;FEA97047;504836526;JONATHAN FABIAN LOPEZ GRANADOS;;jonathan.granados@gmail.com;;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=bb06f32e5832ed22b5b2b06694c85ae5e4cafbbb9f72e0d317deba0801528efa7e400b6a881c3ad3519b938d94e8ec5f;bb06f32e5832ed22b5b2b06694c85ae5e4cafbbb9f72e0d317deba0801528efa7e400b6a881c3ad3519b938d94e8ec5f;19.635,00;3.135,00;2025-05-14 09:25:30;900.493.470-8;GRUPO MOTOR S.A.S
layout_29_004;FEA94895;894636560;FRANCISCO EMILIO SUAREZ ROMERO;;francisco.romero@gmail.com;;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=4aa47faa8e3de8b9036545eba7ea680cbf07cd3cc58d45f607b2bc8f287de932bf777b3cff74372b2c044a9e0e398413;4aa47faa8e3de8b9036545eba7ea680cbf07cd3cc58d45f607b2bc8f287de932bf777b3cff74372b2c044a9e0e398413;37.723,00;6.023,00;2024-01-21 15:21:24;900.493.470-8;GRUPO MOTOR S.A.S
layout_29_005;FEA83189;525650450;ESPERANZA GLORIA ROJAS SERRANO;;esperanza.serrano@yahoo.com;;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=b9a0b366680d1c12dd49ed7bd0474f2ba9125d2363e04f6486076053289e516227052729f0b7a34538313aa2882fbfc4;b9a0b366680d1c12dd49ed7bd0474f2ba9125d2363e04f6486076053289e516227052729f0b7a34538313aa2882fbfc4;38.199,00;6.099,00;2024-10-11 18:09:48;900.493.470-8;GRUPO MOTOR S.A.S
layout_29_006;FEA83278;878969813;DAVID WILMER VARGAS LOPEZ;;david.lopez@hotmail.com;;;;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=be1a0e3fd8340bc96e7a212f3a82e2f27d7c6414fa7f5f5abfa4686dcd2ae60895458df6d65093640592efd4a96349ff;be1a0e3fd8340bc96e7a212f3a82e2f27d7c6414fa7f5f5abfa4686dcd2ae60895458df6d65093640592efd4a96349ff;23.086,00;3.686,00;2024-06-22 18:44:52;900.493.470-8;GRUPO MOTOR S.A.S
layout_30_001;L 1045;1048066364;maria camila guevara pacheco;LOCAL FISICO;;3007902578;Barranquilla;18765081783494;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=0c638ab54eec7bdcf9b390d351c7e962a7688fe453f2240b6f7f1aaf874cd7be514fedd8a1827540a2665e46f55466ba;0c638ab54eec7bdcf9b390d351c7e962a7688fe453f2240b6f7f1aaf874cd7be514fedd8a1827540a2665e46f55466ba;45.000;;01/06/2025 23:16:56;1045743143;JUAN S. DELGADO QUINTERO
layout_30_002;L 3439;0275067049;jose fernando trujillo bustos;AK 163 # 55 - 3;;3191117489;Ibague;60454761838786;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=2d8e66e66fe55cc81d345910c64c68d63c921a03e31bdf039f0af5a9b340df7425963fecf404d971660384b3b319192f;2d8e66e66fe55cc81d345910c64c68d63c921a03e31bdf039f0af5a9b340df7425963fecf404d971660384b3b319192f;228.000;;28/04/2025 11:52:25;1045743143;JUAN S. DELGADO QUINTERO
layout_30_003;L 9212;8328419022;monica yesenia lopez montoya;CR 77 # 94 - 96;;3224800007;Rionegro;30650153495717;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=9241885a53a46652d27818731c25bfebae5f3ce83df49ed81b9ef2f50551a22088181b970778e4287de082ecf08dc2e8;9241885a53a46652d27818731c25bfebae5f3ce83df49ed81b9ef2f50551a22088181b970778e4287de082ecf08dc2e8;768.000;;20/03/2025 07:21:59;1045743143;JUAN S. DELGADO QUINTERO
layout_30_004;L 6700;0843362034;rocio paola osorio delgado;CL 91 # 53 - 19;;3212164679;Chia;61278690509451;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=3bc2057dc0922d0f7fcd606a3e0b73b9eb8772db3c2f459fc1f81189400b57c3617cec6bc8e3b48e30220e2144af8263;3bc2057dc0922d0f7fcd606a3e0b73b9eb8772db3c2f459fc1f81189400b57c3617cec6bc8e3b48e30220e2144af8263;844.000;;20/06/2025 12:50:28;1045743143;JUAN S. DELGADO QUINTERO
layout_30_005;L 7732;9502621214;cecilia esperanza palacio zapata;AC 157 # 23 - 93;;3518656453;Santa Marta;07661722359444;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=ad452a8f78d6c251fd649078219a9dea538276ffa82835c6e098cd28a2a18a3b96ca1a20fd27e0b829e1ca5a7cd4d60f;ad452a8f78d6c251fd649078219a9dea538276ffa82835c6e098cd28a2a18a3b96ca1a20fd27e0b829e1ca5a7cd4d60f;103.000;;13/09/2024 07:08:40;1045743143;JUAN S. DELGADO QUINTERO
layout_30_006;L 4958;1836031246;manuel nelson morales valencia;CLL 104 # 77 - 73;;3108908142;Turbo;04278343958220;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=468ffebb3bdc581cbd6524d8653b72e0737221351471c08678d387f08ee65a55b803f575a6ccadab0f49d7afc594f8ad;468ffebb3bdc581cbd6524d8653b72e0737221351471c08678d387f08ee65a55b803f575a6ccadab0f49d7afc594f8ad;74.000;;15/04/2024 13:26:46;1045743143;JUAN S. DELGADO QUINTERO
layout_01_007;TTO 472899;1.017.474.312-1;ARMANDO CRISTIAN CARDENAS MARTINEZ;TV 46 # 72 - 83;;3506866056;Sogamoso - Colombia;24560316158910;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=fa38fdd2610c079e637a2fc133ff0a00353b5ffe8ec9a43b603b7afc1edbc4eedede5ccbdd56a933b6252805ac9bdfe3;fa38fdd2610c079e637a2fc133ff0a00353b5ffe8ec9a43b603b7afc1edbc4eedede5ccbdd56a933b6252805ac9bdfe3;42,000.00;;12/10/2024, 14:28;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_008;TTO 579388;1.014.671.778-1;SEBASTIAN ORLANDO OSORIO GIRALDO;CL 158 # 24 - 18;;3011478713;Facatativa - Colombia;00824047462500;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=49e5fdb799730436305c75052b501d3ddb5b3a609f2764e7ed9cda0ae5464ffb20eb53236fd4fcfcadb3cf44e71c2c30;49e5fdb799730436305c75052b501d3ddb5b3a609f2764e7ed9cda0ae5464ffb20eb53236fd4fcfcadb3cf44e71c2c30;12,000.00;;03/05/2025, 18:12;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_009;TTO 512187;1.012.264.524-5;MARTHA ANA LEON NIETO;TV 144 # 85 - 79;;3225817464;Cartago - Colombia;86446938683849;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=79b8f554438129db78f065d560481e4ab1e4e07fd745d7a27e107d9a7e9e48ed99ddc113632fd5251cc98f7bf1b221c0;79b8f554438129db78f065d560481e4ab1e4e07fd745d7a27e107d9a7e9e48ed99ddc113632fd5251cc98f7bf1b221c0;9,400.00;;29/06/2024, 16:52;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_010;TTO 499573;1.172.571.241-3;WILMER VICTOR FERNANDEZ MUNOZ;TV 92 # 24 - 44;;3191495224;Duitama - Colombia;86189930989710;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=f1f016184a5460c2be0a596b673ea4097134562ae81ecbfb23cb46be2137260481b70402ce55e35c2f5d0b6bbbad948e;f1f016184a5460c2be0a596b673ea4097134562ae81ecbfb23cb46be2137260481b70402ce55e35c2f5d0b6bbbad948e;913,000.00;;26/10/2024, 08:39;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_011;TTO 338515;1.015.067.075-6;GABRIEL ORLANDO AGUILAR TOVAR;DG 83 # 74 - 31;;3237930218;Barranquilla - Colombia;55448595893498;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=e6908765202ca64f4e09ec3287f5c33fbd561565e0ed34a5c6657be6c3f31950cd1cb20ed08fe2f4be4df713e8556000;e6908765202ca64f4e09ec3287f5c33fbd561565e0ed34a5c6657be6c3f31950cd1cb20ed08fe2f4be4df713e8556000;407,000.00;;23/07/2024, 14:36;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_012;TTO 592719;1.024.752.117-8;WILMER CARLOS BAUTISTA ROJAS;DG 124 # 93 - 44;;3166355879;Envigado - Colombia;18249907512653;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=ce82dbb3231d54b9ccbd15c6196e0cf4a7f266c87f0e083c0e9a6e786913acf32264335e2dbc7ccefde7f2c289598da8;ce82dbb3231d54b9ccbd15c6196e0cf4a7f266c87f0e083c0e9a6e786913acf32264335e2dbc7ccefde7f2c289598da8;72,000.00;;30/09/2024, 08:25;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_013;TTO 580437;1.190.436.550-2;NUBIA CAMILA VALENCIA BARRERA;KR 137 # 69 - 58;;3112913261;Girardot - Colombia;59427457513166;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=629a24afac6edf6301f1128793ea431978fc76936971c763f6f29251d8b270764f11bb2a2ea340c50e72aea37f85933c;629a24afac6edf6301f1128793ea431978fc76936971c763f6f29251d8b270764f11bb2a2ea340c50e72aea37f85933c;676,000.00;;01/06/2025, 17:06;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_014;TTO 493914;1.125.409.244-2;PATRICIA ANA ARIAS MUNOZ;CR 105 # 108 - 30;;3504194668;Quibdo - Colombia;01426170640233;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=9edb427447c438eb28e505b88f679c7057dfaeb40bba102446163462a28aa365babbe4610ae07199b43940ade674e34d;9edb427447c438eb28e505b88f679c7057dfaeb40bba102446163462a28aa365babbe4610ae07199b43940ade674e34d;1,766,000.00;;11/10/2024, 14:41;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_015;TTO 355969;1.083.956.487-9;JAIRO MANUEL MEDINA CARDONA;CLL 86 # 108 - 31;;3171397731;Monteria - Colombia;31036872160104;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=543c914e34f52d7bfc69892e490b8080a3e5d7464669145acc4dca35d59b31aee3da7e73eb082e9f4c8335bcce72bf14;543c914e34f52d7bfc69892e490b8080a3e5d7464669145acc4dca35d59b31aee3da7e73eb082e9f4c8335bcce72bf14;43,300.00;;26/09/2024, 08:48;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_016;TTO 375805;1.099.241.752-5;MANUEL ALBERTO GONZALEZ HENAO;AK 158 # 86 - 10;;3058158297;Valledupar - Colombia;40945895476645;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=44d24d091f0dd32ed476773b4d6f7d8ee15cfa60abb50b761a5849771e409c353e99a21a9f7f47ae1e9244df57f8e674;44d24d091f0dd32ed476773b4d6f7d8ee15cfa60abb50b761a5849771e409c353e99a21a9f7f47ae1e9244df57f8e674;44,000.00;;25/08/2024, 10:44;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_017;TTO 371324;1.017.709.783-6;HAROLD JONATHAN MARTINEZ VERA;TV 174 # 7 - 17;;3113623158;Monteria - Colombia;17337014000407;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=6c2c6638d139415f7f126ff193699a7e8624f6a5624c733b883bca6b76d58dbfe47ab6f224158ce95f23580fd57aa713;6c2c6638d139415f7f126ff193699a7e8624f6a5624c733b883bca6b76d58dbfe47ab6f224158ce95f23580fd57aa713;747,000.00;;16/11/2024, 14:57;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_018;TTO 393342;1.103.713.799-0;ARMANDO JONATHAN IBARRA ARIAS;CRA 13 # 60 - 49;;3012138344;Facatativa - Colombia;32796350705009;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=723bd3d466375e5a849128f6be919734d89d1219c3a0e64d2e6e553aa90a740fc709eb4817f30cfe53638332c97f38ed;723bd3d466375e5a849128f6be919734d89d1219c3a0e64d2e6e553aa90a740fc709eb4817f30cfe53638332c97f38ed;21,200.00;;25/03/2024, 12:34;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_019;TTO 495990;1.029.815.048-8;LORENA SANDRA ROMERO TOVAR;DG 63 # 23 - 95;;3175779181;Magangue - Colombia;67866593158901;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=f306bcd85067f3c65a4872adc47c0dfe1530e9303ec6a2b10cc925bfe2287addb5e50156c74d1294bf1b22598b49804d;f306bcd85067f3c65a4872adc47c0dfe1530e9303ec6a2b10cc925bfe2287addb5e50156c74d1294bf1b22598b49804d;22,000.00;;06/03/2024, 13:50;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_020;TTO 452819;1.066.847.654-3;FRANCISCO NELSON CASTANEDA JIMENEZ;AC 139 # 8 - 36;;3128677523;Armenia - Colombia;72194945630533;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=c2d6575de395fb62f2ad9aadc0a0fcb887fb88341969051103997c5886e99bedb95d16fbb546e8a9a227a787c9013bec;c2d6575de395fb62f2ad9aadc0a0fcb887fb88341969051103997c5886e99bedb95d16fbb546e8a9a227a787c9013bec;2,041,000.00;;06/08/2024, 17:46;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_02_007;066040660;1186384670-9;YEISON ARTURO VERA BENITEZ;CR 135 # 2 - 1;ING_YEISONARTURO@HOTMAIL.COM;;PASTO;70065431181954;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=6af68dd3e3864582309b48f42d6872115004f0d219b2bb640aa8e4823406c31c14182d1531b41e092e658282d13a75f9;6af68dd3e3864582309b48f42d6872115004f0d219b2bb640aa8e4823406c31c14182d1531b41e092e658282d13a75f9;64.400;;07 / 06 / 2025  15:28;890100531-8;EXPRESO BRASILIA S.A.
layout_02_008;236354606;1189862508-5;YULIETH MAGDA RAMIREZ PALACIO;AV 70 # 8 - 75;ING_YULIETHMAGDA@HOTMAIL.COM;;SOGAMOSO;84267871295652;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=c8cf8fc3a82e7aeed9712842b4243663d57e99dbbddff08d8d90b4b2a5dbf15ac947ca0ec033a38861bf229e7868a20b;c8cf8fc3a82e7aeed9712842b4243663d57e99dbbddff08d8d90b4b2a5dbf15ac947ca0ec033a38861bf229e7868a20b;113.000;;30 / 12 / 2024  15:19;890100531-8;EXPRESO BRASILIA S.A.
layout_02_009;338981623;1166178312-1;RUBEN EDWIN TRUJILLO RODRIGUEZ;TV 17 # 76 - 54;ING_RUBENEDWIN@HOTMAIL.COM;;BARRANQUILLA;78295349379019;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=eb2e0a4423bb3fda5afa59f4ac718c11e10265911716bdf518f572cfea524fbe4af4fb02ea2e2252ccdbf7a9363cabd4;eb2e0a4423bb3fda5afa59f4ac718c11e10265911716bdf518f572cfea524fbe4af4fb02ea2e2252ccdbf7a9363cabd4;61.000;;21 / 02 / 2024  10:41;890100531-8;EXPRESO BRASILIA S.A.
